session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
22,0,331428.766461,294.3461040267721,2967.8,366,28,200,
2,0,331428.883435,276.2056249775924,3271.1,402,31,200,
7,0,331429.048241,343.4948250069283,4014.0,452,38,200,
24,0,331429.501096,2457.7612340217456,5041.0,348,27,200,
18,0,331429.512093,2869.1473059589043,6244.9,374,34,200,
23,0,331429.734202,3558.145932969637,7026.1,364,36,200,
4,0,331429.842173,4923.804301011842,7536.1,307,27,200,
14,0,331429.848892,6136.819791980088,9338.9,333,33,200,
5,0,331430.034804,6952.073203981854,10080.2,340,32,200,
6,0,331430.277243,7327.53607298946,11435.3,514,42,200,
23,1,331430.464992,9883.053842990194,12875.1,391,31,200,
29,0,331430.337601,9078.780691022985,13136.6,451,41,200,
22,1,331430.488037,11454.062795965001,15961.8,515,46,200,
17,0,331430.517870,13084.970827039797,16361.1,413,33,200,
4,1,331430.670038,13030.014322022907,16548.2,382,36,200,
24,1,331430.907388,16542.38992300816,18786.1,343,24,200,
10,0,331430.788457,15889.079009997658,19231.4,378,34,200,
15,0,331430.884284,16227.175341977272,19139.8,348,30,200,
2,1,331431.125993,19115.848114015535,21569.7,319,26,200,
3,0,331431.092443,19149.616083013825,22032.5,375,30,200,
14,1,331430.947113,18968.476551002823,22311.6,413,34,200,
20,0,331431.676776,21807.52954800846,25147.4,371,34,200,
13,0,331431.370792,22014.518498035613,25599.3,417,37,200,
25,0,331431.331068,21590.235026029404,26349.7,547,48,200,
29,1,331431.770215,25411.06050898088,28865.3,473,35,200,
31,0,331431.706983,25376.100782013964,28937.5,445,37,200,
8,0,331431.790631,26112.204601988196,29759.3,461,38,200,
27,0,331431.999686,28862.982505990658,32032.9,466,33,200,
25,1,331432.285102,29486.781369021628,31881.3,261,25,200,
16,0,331431.827317,29035.55062203668,32767.5,504,38,200,
7,1,331432.608326,32205.636346014217,34568.1,365,25,200,
8,1,331432.341518,31946.70045102248,34960.4,393,31,200,
5,1,331432.431595,31955.278205976356,36072.8,525,42,200,
10,1,331432.629867,34794.9683140032,37663.0,408,29,200,
27,1,331432.826444,34691.769449971616,37489.0,334,29,200,
24,2,331432.941055,35777.14564296184,39130.6,426,35,200,
29,2,331433.001606,37509.90297301905,40454.2,406,31,200,
0,0,331433.096667,37415.2177789947,41174.6,460,39,200,
17,1,331433.384037,40285.11897101998,41629.8,161,14,200,
7,2,331433.239712,39043.22781699011,42300.6,352,33,200,
21,0,331433.567613,40951.27464400139,44711.6,477,39,200,
27,2,331433.582989,41628.96495196037,45019.5,460,35,200,
0,1,331433.605040,42147.475493955426,45709.3,444,37,200,
11,0,331434.438794,44374.16258302983,47611.1,364,34,200,
16,1,331433.991271,44496.46995897638,48380.8,466,40,200,
6,1,331434.528057,44995.02374295844,49229.7,603,44,200,
12,0,331435.014418,47566.06435700087,50700.8,391,33,200,
19,0,331434.783765,47471.03692300152,51062.7,470,37,200,
10,2,331435.037257,48927.780794969294,52485.6,337,37,200,
0,2,331435.134621,50822.011765034404,53581.5,426,29,200,
31,1,331435.249880,50803.563547029626,53983.1,433,33,200,
23,2,331435.252613,52476.6978630214,54978.8,271,26,200,
19,1,331435.517019,53404.05160502996,55969.7,340,26,200,
15,1,331435.551834,53885.36388200009,57121.2,320,32,200,
31,2,331435.827254,55896.68821997475,58881.4,380,29,200,
5,2,331435.815025,54620.42164104059,60092.5,602,52,200,
30,0,331436.057726,58864.07929996494,62848.8,449,39,200,
8,2,331436.040053,56853.18159800954,63484.5,691,64,200,
10,3,331436.426542,59709.083166962955,63945.8,439,42,200,
27,3,331436.465458,62653.201121953316,64321.7,195,17,200,
12,1,331436.883408,62857.236105017364,66270.0,384,34,200,
23,3,331437.707601,63306.45251699025,66547.4,381,32,200,
25,2,331437.040409,63536.62997495849,67234.2,427,37,200,
28,0,331437.780586,65560.89898198843,68514.3,318,30,200,
1,0,331437.806577,66670.4709350015,69767.4,347,31,200,
14,2,331437.797803,66679.10906905308,71789.8,503,49,200,
0,3,331438.030137,69791.33287502918,72940.5,366,30,200,
14,3,331437.918562,68591.13973996136,74015.2,559,51,200,
3,1,331438.039992,71743.62801399548,75164.5,391,32,200,
4,2,331438.320194,73830.61467198422,75980.4,259,21,200,
2,2,331438.073378,73106.11869697459,76372.4,426,31,200,
17,2,331438.410906,75026.29807201447,79469.6,381,41,200,
13,1,331438.549405,76024.10442201653,80604.0,439,43,200,
30,1,331438.646625,76038.14462502487,80677.2,533,43,200,
30,2,331438.681685,79390.87688800646,83213.2,499,35,200,
27,4,331438.900575,80623.81807196653,83020.6,316,23,200,
12,2,331438.887977,80518.20672000758,85025.8,471,43,200,
26,0,331438.955781,83149.11329204915,86381.1,384,31,200,
3,2,331439.035479,83069.0623660339,88301.2,588,50,200,
6,2,331439.176103,84965.79704899341,88713.8,429,37,200,
21,1,331439.185571,86345.24565702304,91524.0,588,50,200,
6,3,331439.387913,88157.63386699837,91994.2,430,38,200,
12,3,331439.424756,88703.82071199128,92510.2,458,37,200,
8,3,331439.521653,91373.20508802077,94871.1,387,35,200,
4,3,331439.669597,92462.08858198952,96137.0,347,37,200,
17,3,331439.590812,91994.1663579666,96473.9,412,44,200,
6,4,331439.743861,94837.03057997627,98520.5,390,35,200,
0,4,331439.750565,96283.69097196264,98968.0,319,24,200,
15,2,331440.185847,96113.52186399745,99666.3,350,33,200,
25,3,331440.291684,98655.45404999284,101749.9,318,28,200,
31,3,331440.208768,98266.9845999917,102167.1,401,35,200,
10,4,331440.583705,99502.44265800575,102131.4,259,24,200,
29,3,331440.682963,101890.41091699619,104245.4,378,24,200,
24,3,331440.644123,101596.27568698488,104642.8,346,30,200,
31,4,331440.726094,102222.8462449857,105189.7,407,30,200,
3,3,331440.779215,104687.69649299793,108178.6,385,33,200,
18,1,331440.748248,104415.31422099797,109409.7,587,47,200,
3,4,331440.888850,105205.35356202163,109399.5,420,39,200,
10,5,331441.156108,109320.60877297772,112142.6,324,27,200,
3,5,331441.061508,108097.74480003398,112770.3,573,44,200,
30,3,331441.068412,109308.07317397557,113414.0,411,40,200,
4,4,331441.403329,112614.9361479911,114414.5,256,18,200,
5,3,331441.164094,112314.0182819916,115583.2,350,32,200,
15,3,331441.517777,113140.36533102626,116342.9,384,32,200,
15,4,331441.582763,114411.63646802306,117995.6,378,36,200,
2,3,331441.691550,115230.62627197942,119290.9,531,41,200,
26,1,331441.813490,116229.54769601347,120969.0,550,48,200,
20,1,331441.947796,117809.15613699472,121720.9,439,39,200,
13,2,331442.289928,118873.55538998963,123038.5,451,41,200,
25,4,331442.464222,121406.4885120024,123999.6,301,26,200,
20,2,331442.429270,120542.6104409853,124509.7,413,37,200,
19,2,331442.482655,123028.02133798832,126584.9,438,35,200,
6,5,331442.561716,124564.35712199891,127524.7,409,30,200,
4,5,331442.559981,124130.77698397683,128182.3,401,40,200,
13,3,331442.573226,126678.48997097462,129294.2,334,26,200,
8,4,331442.661880,127619.60362899117,130844.0,394,32,200,
4,6,331443.001130,127932.77804704849,131341.8,378,34,200,
23,4,331443.265740,128788.32096396945,131946.3,347,30,200,
28,1,331443.308170,130380.52234897623,133980.9,434,35,200,
19,3,331443.532917,131002.00702995062,133889.4,403,28,200,
0,5,331443.652173,131744.51431201305,134696.2,414,29,200,
19,4,331443.790495,133722.21000900026,137037.8,371,34,200,
6,6,331444.127925,133483.53249096544,137326.7,485,39,200,
8,5,331444.478526,134053.53758495767,138978.1,713,50,200,
6,7,331444.517891,136495.77154795406,139560.5,405,31,200,
9,0,331444.687745,136950.81611303613,140341.9,352,33,200,
13,4,331444.727737,138911.1913240049,141558.3,324,25,200,
13,5,331444.886102,139378.2283270266,143440.2,396,40,200,
16,2,331445.032217,140190.26130397106,143621.8,459,34,200,
16,3,331445.121021,141357.80665196944,146308.1,628,50,200,
27,5,331445.429322,143409.54048599815,146130.5,309,28,200,
3,6,331445.416383,143092.1589229838,147256.4,456,42,200,
8,6,331445.656336,146088.6585409753,148222.4,328,22,200,
2,4,331445.651431,145996.08343298314,149914.7,449,39,200,
16,4,331445.783934,147069.28102002712,150205.1,410,32,200,
28,2,331445.806155,148246.73131195595,151817.7,455,37,200,
7,3,331446.010724,150158.00941898488,153516.4,435,35,200,
27,6,331445.906664,149841.2091420032,154539.3,556,48,200,
9,1,331446.021215,151803.43447305495,155837.0,371,41,200,
23,5,331446.120167,153592.58759598015,156659.3,393,31,200,
9,2,331446.229686,154401.08350699302,158239.4,431,38,200,
2,5,331446.300088,155744.44835196482,158683.7,393,30,200,
2,6,331446.347164,156625.82338100765,160420.2,451,39,200,
6,8,331446.778716,158388.51253903704,161409.8,444,31,200,
13,6,331446.634579,158011.98115595616,162071.7,419,41,200,
26,2,331446.833926,160112.77148401132,162881.2,395,27,200,
11,1,331447.866316,162028.47192599438,164686.3,336,28,200,
15,5,331447.614915,161275.58793697972,165655.9,478,45,200,
