session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
2,0,330653.804182,295.19531497498974,2657.9,263,25,200,
22,0,330653.340612,239.25943800713867,3350.7,374,31,200,
7,0,330654.459608,254.06261900207028,2585.8,304,24,200,
18,0,330656.310012,638.5467749787495,1843.7,190,13,200,
24,0,330656.268162,421.4722700417042,3396.4,278,29,200,
4,0,330657.626249,758.2954509998672,2766.0,234,21,200,
23,0,330657.194973,264.79111198568717,5013.6,543,48,200,
14,0,330657.650469,2244.1018520039506,6250.0,443,40,200,
5,0,330658.392784,2227.7466059895232,5508.3,390,34,200,
6,0,330659.359759,3076.2812239699997,6036.5,361,30,200,
23,1,330660.106244,4023.4380660112947,5915.6,239,20,200,
22,1,330660.195836,5432.126942963805,7126.2,244,18,200,
29,0,330659.600567,4529.661297041457,8241.9,397,38,200,
17,0,330660.313935,5932.431586028542,8537.7,338,27,200,
4,1,330660.919413,6628.773672040552,8747.4,194,21,200,
10,0,330661.390294,6681.878826988395,10244.7,373,37,200,
24,1,330661.863184,8031.10447502695,10193.3,286,23,200,
15,0,330661.772738,7306.151951022912,11390.6,481,42,200,
2,1,330662.731640,,10665.8,0,0,200,
14,1,330662.022109,9838.233024987858,12786.7,381,30,200,
3,0,330662.600762,9682.494764041621,13024.2,395,34,200,
13,0,330663.706189,11329.785498033743,13329.7,254,21,200,
25,0,330663.550072,10077.631440013647,13811.2,473,38,200,
29,1,330665.301060,12287.387220014352,14923.8,347,28,200,
20,0,330664.928880,10923.848521953914,15525.8,510,47,200,
31,0,330665.048628,12212.681563047227,15736.6,466,36,200,
8,0,330665.379123,15073.83814099012,17198.6,230,22,200,
16,0,330665.521326,15162.845921993721,18457.9,421,33,200,
25,1,330667.350884,15454.815785982646,17742.5,313,24,200,
27,0,330666.209240,14804.247818945441,19598.7,586,49,200,
8,1,330667.576418,16631.691803981084,20324.2,417,37,200,
7,1,330668.638694,17399.211295007262,19688.2,320,24,200,
5,1,330667.933179,17384.125259995926,20920.0,450,36,200,
10,1,330668.722863,19405.432906991336,22145.6,289,28,200,
27,1,330669.509269,19047.709759965073,22171.1,469,32,200,
24,2,330669.963769,19120.64337299671,22047.1,354,30,200,
29,2,330670.205594,20891.847004008014,24617.4,483,37,200,
7,2,330671.153808,21088.06344703771,23669.5,376,27,200,
0,0,330670.582724,21328.85560003342,25567.3,468,42,200,
17,1,330671.727111,23323.663976974785,25965.1,370,27,200,
21,0,330672.459434,22591.25747496728,25667.8,370,30,200,
0,1,330672.606174,25311.15789397154,27872.9,316,26,200,
27,2,330672.519526,23862.466356018558,29088.0,625,52,200,
16,1,330674.143942,24212.64166396577,28202.0,531,40,200,
11,0,330675.930631,24778.796513041016,28051.7,413,33,200,
19,0,330677.308900,25274.473421974108,27761.7,347,25,200,
6,1,330676.285769,25556.914152984973,29021.5,401,34,200,
12,0,330678.231140,26021.659072022885,28096.5,213,21,200,
31,1,330679.161286,27396.83141297428,30253.9,305,29,200,
0,2,330678.702752,26835.81212401623,30844.5,490,41,200,
10,2,330678.314796,26991.355123987887,32049.9,479,50,200,
23,2,330679.171595,30506.391789007466,32884.4,281,25,200,
19,1,330680.226774,29549.59816299379,33309.0,461,39,200,
15,1,330680.363851,30230.0720490166,34193.0,484,40,200,
5,2,330681.417241,30869.03020896716,34476.8,424,35,200,
31,2,330681.462455,32300.969036994502,36072.6,373,35,200,
