session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
2,0,330516.848941,339.16268101893365,2644.5,264,24,200,
22,0,330515.922216,258.68000596528873,3762.6,429,36,200,
7,0,330518.158347,320.19052101532,3962.6,387,37,200,
18,0,330521.858242,361.71177600044757,2999.6,274,27,200,
24,0,330521.775744,343.6582370195538,3410.5,350,30,200,
23,0,330523.627063,344.83967901906,2222.0,166,19,200,
4,0,330524.488875,595.7147129811347,3543.8,381,29,200,
14,0,330524.536736,890.4440240003169,4224.6,382,33,200,
6,0,330527.954856,310.09033403825015,1849.3,290,16,200,
5,0,330526.020620,278.0506020062603,4612.6,440,43,200,
29,0,330528.434137,562.1842070249841,3232.6,284,27,200,
23,1,330529.444791,592.7079889806919,2222.4,191,17,200,
22,1,330529.623261,1246.2524540023878,4542.2,433,34,200,
4,1,330531.070545,826.28359796945,3843.4,344,31,200,
17,0,330529.859178,2037.3090750072151,5506.0,429,35,200,
15,0,330532.775069,2378.0086979968473,4646.0,295,23,200,
10,0,330532.010746,2392.3626000178047,5649.2,371,31,200,
3,0,330534.424818,3477.5514200446196,4773.3,154,13,200,
24,1,330532.954431,2656.3407100038603,6244.1,431,36,200,
14,1,330533.269705,4386.645413003862,6943.2,320,26,200,
2,1,330534.685587,4745.598215027712,6455.9,211,18,200,
25,0,330536.320827,3109.7800839925185,6043.9,345,30,200,
13,0,330536.633479,3807.9748040181585,8063.7,483,43,200,
20,0,330539.077894,2294.8323460295796,6067.4,396,38,200,
31,0,330539.318912,3282.035833981354,6975.6,441,37,200,
29,1,330539.822831,5116.560991038568,7653.6,273,25,200,
8,0,330539.977252,5410.733389959205,8045.1,288,26,200,
16,0,330540.260855,6253.017476003151,10009.0,493,37,200,
27,0,330541.636443,6079.868873988744,9157.2,321,31,200,
25,1,330543.918642,4342.288235959131,7208.3,362,29,200,
7,1,330546.492475,,4871.1,0,0,200,
5,1,330545.081751,5945.005281013437,8585.2,390,27,200,
8,1,330544.368708,6130.009297048673,9528.9,413,34,200,
10,1,330546.658748,4933.572170964908,8769.9,390,39,200,
27,1,330548.231132,5664.564584032632,8826.6,366,32,200,
24,2,330549.139316,4991.2636679946445,8550.0,408,36,200,
7,2,330551.515634,,6407.9,0,0,200,
29,2,330549.620270,6042.374734999612,8441.2,332,24,200,
17,1,330552.661497,5529.710175003856,8577.1,371,32,200,
0,0,330550.374959,6911.752104002517,11386.5,456,44,200,
21,0,330554.126131,4163.769844977651,8256.6,437,42,200,
27,2,330554.244801,7223.434332991019,9927.2,300,28,200,
16,1,330557.493822,5116.950402036309,7787.1,347,28,200,
0,1,330554.417258,7573.789870017208,11597.6,428,41,200,
11,0,330561.067092,3332.8033830039203,6784.3,386,35,200,
6,1,330561.776251,3741.440125973895,6303.1,333,26,200,
19,0,330563.820743,2439.8223840398714,4782.1,301,24,200,
10,2,330565.833083,2475.1293209847063,5972.8,379,36,200,
12,0,330565.665057,2413.398198026698,6141.3,447,38,200,
0,2,330566.608613,2225.6520420196466,6519.4,569,44,200,
23,2,330567.544442,4493.2379049714655,5816.4,167,14,200,
31,1,330567.524368,4513.7230620021,7768.2,395,33,200,
19,1,330569.655081,3704.9397390219383,7062.5,432,34,200,
15,1,330569.930421,3663.2950580096804,7021.3,376,34,200,
5,2,330572.035115,3491.737782023847,6564.4,350,31,200,
31,2,330572.125167,4824.515913962387,7896.6,388,31,200,
8,2,330573.818767,3366.4559010067023,7032.2,393,37,200,
27,3,330577.201482,,3891.6,0,0,200,
30,0,330573.957288,4872.894548985641,8254.0,362,34,200,
10,3,330576.892396,3361.9528439594433,7135.0,414,38,200,
12,1,330580.537050,780.4029079852626,4181.1,442,34,200,
25,2,330581.785935,655.2576920366846,3328.3,355,28,200,
23,3,330587.117287,234.50451501412317,1665.5,162,15,200,
28,0,330587.694095,311.31965800886974,3475.0,474,33,200,
14,2,330587.823981,278.05007999995723,3478.9,366,32,200,
1,0,330587.892111,1118.0399129516445,5393.0,501,44,200,
14,3,330588.782925,2654.3437910149805,5510.2,345,30,200,
3,1,330589.747195,3767.397145042196,4873.8,126,11,200,
0,3,330589.672627,1862.618051993195,5472.2,499,37,200,
2,2,330590.007557,4514.469305053353,6245.8,211,18,200,
4,2,330591.971441,2879.258560948074,5567.9,298,28,200,
17,2,330592.694220,2680.279068008531,5479.4,333,29,200,
13,1,330593.800251,2679.96628099354,5385.6,363,28,200,
30,1,330594.575639,3196.1069050012156,6886.2,471,38,200,
30,2,330594.854970,3547.2590909921564,6840.8,427,34,200,
12,2,330596.503641,2914.067884965334,6499.3,482,37,200,
27,4,330596.604461,5090.064326010179,8051.6,347,30,200,
26,0,330597.042157,4882.192480028607,7952.2,350,30,200,
3,2,330597.671805,5562.238996964879,7659.2,261,21,200,
6,2,330598.791103,6099.491024040617,8322.9,334,23,200,
6,3,330600.468180,5094.642154988833,7570.0,334,26,200,
21,1,330598.854104,6378.031986008864,10104.9,394,37,200,
8,3,330601.523781,6746.099654003046,8451.6,273,18,200,
12,3,330600.754272,6593.518233043142,9956.7,425,34,200,
17,3,330602.072071,7119.549010007177,10174.7,331,29,200,
6,4,330603.279853,7700.095325999428,9920.1,224,22,200,
4,3,330602.693707,7518.810008012224,11424.8,386,38,200,
15,2,330606.806404,6624.996987986378,8339.2,204,17,200,
0,4,330603.331878,9170.629938016646,13235.1,512,41,200,
31,3,330606.988876,7363.174239988439,10504.4,355,32,200,
25,3,330607.646448,7731.769223988522,10477.8,305,28,200,
10,4,330609.975485,6824.004462978337,10372.9,444,35,200,
29,3,330610.761325,7597.344616020564,10318.9,318,27,200,
24,3,330610.452170,7274.5525049977,10762.6,475,35,200,
3,3,330611.513732,9933.00508504035,11621.8,157,18,200,
31,4,330611.097676,9485.580091015436,12569.1,451,31,200,
18,1,330611.267132,10080.600528977811,13329.8,311,33,200,
3,4,330612.380180,10987.117638986092,13538.3,305,26,200,
3,5,330613.759412,10141.722013009712,13151.5,336,30,200,
30,3,330613.811383,11016.444144013803,14805.7,473,38,200,
10,5,330614.511109,11653.206658025738,14923.6,370,33,200,
5,3,330614.570696,12570.05601999117,15875.3,427,34,200,
4,4,330616.477857,12370.462661026977,15196.4,355,29,200,
15,3,330617.382796,12282.217338040937,14726.1,284,25,200,
15,4,330617.900499,12773.89619400492,14929.3,302,22,200,
2,3,330618.766141,13146.124837978277,14781.2,187,17,200,
26,1,330619.733040,12605.175547010731,15314.9,356,28,200,
13,2,330623.534525,10243.870784994215,13528.4,405,34,200,
20,1,330620.805017,12253.104661009274,16588.2,418,44,200,
20,2,330624.642938,10634.689249971416,13772.6,365,32,200,
25,4,330624.916705,12376.144957030192,15199.1,341,29,200,
19,2,330625.057371,12566.145547025371,15581.2,375,31,200,
