session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,output_chunks,status,backend
22,0,2552576.063389,139.11380106583238,1083.7,360,57,56,200,
2,0,2552576.989560,106.59508826211095,1080.7,366,63,62,200,
7,0,2552578.298869,89.72439356148243,1262.7,453,76,75,200,
24,0,2552581.918316,171.66617512702942,906.8,291,45,44,200,
18,0,2552582.001013,90.3697069734335,1042.7,316,58,57,200,
23,0,2552583.770666,88.60584534704685,601.2,210,34,33,200,
4,0,2552584.632420,169.60233496502042,563.5,166,25,24,200,
14,0,2552584.679564,123.7701759673655,936.9,284,51,50,200,
5,0,2552586.164309,87.0199790224433,677.8,196,39,38,200,
6,0,2552588.099564,86.53046796098351,965.2,316,51,50,200,
29,0,2552588.578141,111.5089301019907,659.9,219,34,33,200,
23,1,2552589.589650,85.51854779943824,949.2,266,44,43,200,
22,1,2552589.767895,116.27579294145107,1061.7,311,52,51,200,
17,0,2552590.003565,120.71089074015617,968.0,279,51,50,200,
4,1,2552591.214167,85.00087633728981,350.3,103,18,17,200,
10,0,2552592.154330,87.20059785991907,1468.3,412,72,71,200,
24,1,2552593.098078,120.69451715797186,1094.1,322,53,52,200,
15,0,2552592.918724,112.54364438354969,1496.0,426,73,72,200,
14,1,2552593.413363,115.09783612564206,1259.7,321,64,63,200,
3,0,2552594.567803,105.12258997187018,685.5,195,32,31,200,
2,1,2552594.828204,117.26434761658311,1023.4,376,57,56,200,
25,0,2552596.464558,87.43025083094835,1087.4,333,57,56,200,
13,0,2552596.776593,109.49102928861976,901.3,291,48,47,200,
20,0,2552599.221895,88.5001071728766,735.6,197,36,35,200,
31,0,2552599.461819,102.87029901519418,1197.2,313,53,52,200,
29,1,2552599.965733,108.38935477659106,849.1,242,36,35,200,
8,0,2552600.119998,106.77205165848136,780.2,215,36,35,200,
16,0,2552600.403564,115.60665396973491,1060.2,334,59,58,200,
27,0,2552601.779120,87.80188485980034,556.6,189,31,30,200,
25,1,2552604.062906,90.7514370046556,960.0,292,50,49,200,
8,1,2552604.512874,116.81580916047096,558.4,167,27,26,200,
5,1,2552605.225658,85.34143399447203,649.5,195,37,36,200,
10,1,2552606.803714,116.69904412701726,1231.9,388,66,65,200,
7,1,2552606.637214,89.57381919026375,1509.1,470,81,80,200,
27,1,2552608.374797,85.39846912026405,536.7,184,30,29,200,
24,2,2552609.283145,86.42130624502897,938.9,288,49,48,200,
29,2,2552609.764694,113.87725407257676,892.7,230,44,43,200,
0,0,2552610.518285,104.44839484989643,1446.4,501,81,80,200,
7,2,2552611.659380,116.52602581307292,1327.2,426,72,71,200,
17,1,2552612.804528,113.18970890715718,997.9,324,57,56,200,
27,2,2552614.388352,116.89012916758657,756.9,188,34,33,200,
21,0,2552614.269141,88.34564685821533,1081.9,283,51,50,200,
0,1,2552614.561144,115.84547208622098,1121.4,358,61,60,200,
16,1,2552617.638862,87.90212497115135,966.5,304,57,56,200,
11,0,2552621.213355,90.4473327100277,700.2,235,40,39,200,
6,1,2552621.923870,87.52310881391168,636.2,218,36,35,200,
19,0,2552623.969945,90.11280303820968,433.5,128,23,22,200,
12,0,2552625.815132,87.67058979719877,899.0,269,45,44,200,
10,2,2552625.981396,115.26956176385283,1380.7,402,71,70,200,
0,2,2552626.756742,107.52378404140472,1316.8,435,65,64,200,
31,1,2552627.671751,192.10443226620555,778.6,214,36,35,200,
23,2,2552627.691691,173.67940908297896,807.2,235,38,37,200,
19,1,2552629.803517,86.81180700659752,750.5,208,37,36,200,
15,1,2552630.077452,117.64623783528805,977.7,345,54,53,200,
31,2,2552632.272492,117.79705295339227,787.2,229,40,39,200,
5,2,2552632.182660,89.7487411275506,1004.9,261,51,50,200,
30,0,2552634.104633,114.14337204769254,731.4,217,37,36,200,
8,2,2552633.966746,89.6735480055213,1185.0,335,63,62,200,
27,3,2552637.351343,117.4677349627018,923.8,287,48,47,200,
10,3,2552637.042914,90.14623193070292,1248.8,378,66,65,200,
12,1,2552640.688400,86.07492595911026,807.5,285,47,46,200,
25,2,2552641.937646,86.65818674489856,1047.3,341,62,61,200,
23,3,2552647.271811,91.0104219801724,971.6,228,43,42,200,
1,0,2552648.044760,128.76623682677746,823.5,236,41,40,200,
14,2,2552647.977905,193.88118293136358,1150.3,324,53,52,200,
28,0,2552647.848700,119.0591799095273,1365.6,354,60,59,200,
14,3,2552648.933666,125.28495211154222,1082.6,301,52,51,200,
3,1,2552649.896117,119.8666850104928,689.7,183,30,29,200,
0,3,2552649.822220,192.2972691245377,1415.3,407,69,68,200,
2,2,2552650.156477,117.16407164931297,1332.3,426,73,72,200,
4,2,2552652.121727,,89.6,0,1,0,200,
17,2,2552652.845108,87.91081607341766,760.7,279,44,43,200,
13,1,2552653.951495,86.8197069503367,710.7,252,41,40,200,
30,1,2552654.726559,84.71651887521148,832.3,248,42,41,200,
30,2,2552655.005565,108.57216082513332,868.2,252,47,46,200,
27,4,2552656.754903,,106.4,0,1,0,200,
3,2,2552657.822281,,122.6,0,1,0,200,
26,0,2552657.192383,116.52049189433455,769.3,194,35,34,200,
12,2,2552656.654888,89.81184288859367,1371.4,359,66,65,200,
21,1,2552659.005883,109.36544416472316,658.8,181,33,32,200,
6,2,2552658.942480,171.4003630913794,942.4,262,48,47,200,
6,3,2552660.619863,85.37659281864762,782.5,229,39,38,200,
12,3,2552660.906607,118.48694598302245,1070.5,312,54,53,200,
8,3,2552661.675226,113.06944210082293,827.2,197,40,39,200,
4,3,2552662.845107,,106.5,0,1,0,200,
17,3,2552662.223786,107.37638594582677,792.0,239,39,38,200,
0,4,2552663.485302,,130.0,0,1,0,200,
6,4,2552663.432725,180.84155209362507,827.8,263,43,42,200,
31,3,2552667.144668,118.13896708190441,806.2,227,37,36,200,
15,2,2552666.962583,89.05815798789263,1262.3,347,62,61,200,
25,3,2552667.801597,114.13396010175347,959.1,321,53,52,200,
10,4,2552670.131338,86.95105277001858,1252.1,325,59,58,200,
3,3,2552671.668345,,118.7,0,1,0,200,
24,3,2552670.607832,104.29521696642041,1195.2,315,48,47,200,
29,3,2552670.916824,120.47074688598514,1268.1,345,55,54,200,
31,4,2552671.253160,112.93412977829576,1033.9,264,46,45,200,
3,4,2552672.534709,,116.6,0,1,0,200,
18,1,2552671.421928,120.51030714064837,1277.4,369,61,60,200,
3,5,2552673.914711,,177.9,0,1,0,200,
30,3,2552673.967087,126.58345000818372,894.1,224,40,39,200,
5,3,2552674.725644,136.91050093621016,995.2,263,51,50,200,
10,5,2552674.666823,194.5273270830512,1338.5,423,70,69,200,
4,4,2552676.633147,,87.6,0,1,0,200,
15,4,2552678.056610,,104.8,0,1,0,200,
15,3,2552677.538809,84.10700922831893,1016.5,311,56,55,200,
2,3,2552678.922951,88.55545707046986,907.9,303,53,52,200,
26,1,2552679.889208,93.26060023158789,547.6,175,30,29,200,
20,1,2552680.961826,88.56602292507887,763.4,193,44,43,200,
13,2,2552683.693532,89.42422410473228,924.5,326,54,53,200,
20,2,2552684.802524,88.4730638936162,914.2,148,42,41,200,
4,5,2552685.828053,,198.7,0,1,0,200,
6,5,2552685.837635,,190.6,0,1,0,200,
19,2,2552685.216683,118.21187566965818,1002.6,253,44,43,200,
25,4,2552685.075793,104.60316715762019,1160.7,257,50,49,200,
13,3,2552685.914688,113.29096183180809,1196.3,373,62,61,200,
8,4,2552686.620284,112.30678390711546,838.0,270,45,44,200,
4,6,2552689.329550,,91.0,0,1,0,200,
23,4,2552691.446857,87.76566805317998,695.3,199,34,33,200,
28,1,2552691.782978,118.31874586641788,1082.8,373,61,60,200,
19,3,2552693.578783,85.70055710151792,510.9,166,28,27,200,
0,5,2552694.525437,85.80664498731494,1208.9,336,67,66,200,
