session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,output_chunks,status,backend
7,0,2553059.548769,107.0071691647172,790.9,176,28,27,200,
2,0,2553059.384184,99.94737291708589,1331.3,262,49,48,200,
22,0,2553059.268252,214.59373366087675,1737.2,363,63,62,200,
23,0,2553060.235934,104.94299000129104,769.8,175,28,27,200,
14,0,2553060.350204,109.24426792189479,914.0,196,36,35,200,
24,0,2553060.001796,202.79295183718204,1382.4,287,47,46,200,
18,0,2553060.013357,192.73294787853956,1473.0,272,47,46,200,
23,1,2553060.968900,142.09460513666272,759.1,147,25,24,200,
29,0,2553060.840581,270.3673620708287,994.0,175,27,26,200,
6,0,2553060.780147,106.02717706933618,1363.1,315,50,49,200,
5,0,2553060.537392,109.31058693677187,1812.7,367,68,67,200,
10,0,2553061.291416,542.9494879208505,1196.4,154,27,26,200,
4,0,2553060.343975,115.52307894453406,2264.2,467,82,81,200,
4,1,2553061.172534,401.4379740692675,1608.7,256,47,46,200,
17,0,2553061.020915,551.8621099181473,1931.3,294,54,53,200,
22,1,2553060.991355,376.1177356354892,2099.2,369,61,60,200,
15,0,2553061.387403,550.1853972673416,1910.5,287,52,51,200,
24,1,2553061.410679,837.0144166983664,2009.2,232,41,40,200,
14,1,2553061.451056,1002.4151341058314,2278.6,294,47,46,200,
3,0,2553061.595607,995.9063800051808,2134.3,271,43,42,200,
2,1,2553061.628840,1082.7059224247932,2255.7,264,45,44,200,
20,0,2553062.180430,1014.6621018648148,1824.0,176,32,31,200,
29,1,2553062.274186,1249.4823620654643,1851.0,154,24,23,200,
13,0,2553061.873458,1182.829137891531,2594.9,330,55,54,200,
25,0,2553061.833615,1050.0552640296519,2807.2,356,67,66,200,
31,0,2553062.210879,1192.279462236911,2584.1,337,54,53,200,
27,0,2553062.503965,1483.707564882934,2393.9,205,34,33,200,
25,1,2553062.789507,1318.5725449584424,2538.7,262,52,51,200,
8,0,2553062.295397,1538.035525009036,3142.9,320,61,60,200,
7,1,2553063.112810,1630.9127169661224,2534.5,209,37,36,200,
16,0,2553062.331534,1501.8323650583625,3436.4,413,73,72,200,
10,1,2553063.134327,1763.4040899574757,2736.2,210,36,35,200,
5,1,2553062.935980,1636.344704311341,3141.7,337,56,55,200,
27,1,2553063.331076,1670.355151873082,3039.1,345,56,55,200,
29,2,2553063.505688,2020.9233672358096,2967.9,220,36,35,200,
8,1,2553062.846751,1381.7379726096988,3731.7,473,89,88,200,
24,2,2553063.445290,2079.8193039372563,3288.0,261,44,43,200,
7,2,2553063.744177,2212.080263067037,3092.3,189,32,31,200,
0,0,2553063.600110,2150.745205115527,3375.8,236,40,39,200,
17,1,2553063.887900,2069.275489076972,3501.8,324,56,55,200,
27,2,2553064.089342,2384.139047935605,3508.4,264,42,41,200,
0,1,2553064.111217,2467.100199777633,3678.6,277,47,46,200,
21,0,2553064.072749,2107.766292989254,3996.5,427,74,73,200,
11,0,2553064.944059,1979.297443293035,3229.3,305,53,52,200,
19,0,2553065.288776,1791.380341630429,3009.6,294,51,50,200,
6,1,2553065.033016,1891.6980680078268,3265.4,331,56,55,200,
10,2,2553065.540720,2163.075977936387,3018.4,191,34,33,200,
16,1,2553064.496508,2185.3002859279513,4272.2,467,81,80,200,
23,2,2553065.756148,2507.35437637195,3241.9,165,31,30,200,
12,0,2553065.519654,1974.997425917536,3478.4,346,59,58,200,
0,2,2553065.637818,2259.1642416082323,3673.5,360,58,57,200,
19,1,2553066.020466,2384.3614901416004,3400.6,237,43,42,200,
31,1,2553065.752956,2509.4386469572783,3775.5,290,49,48,200,
15,1,2553066.054953,2349.957344122231,3473.6,265,44,43,200,
31,2,2553066.331084,2546.1876620538533,3614.9,296,46,45,200,
23,3,2553068.210637,,1842.1,0,1,0,200,
8,2,2553066.543810,2560.200515203178,3718.3,288,47,46,200,
5,2,2553066.318102,2347.7381323464215,4071.5,387,67,66,200,
30,0,2553066.561244,2542.8314921446145,4035.5,351,58,57,200,
14,3,2553068.420042,,2282.1,0,1,0,200,
10,3,2553066.928815,2492.165006697178,3928.2,276,51,50,200,
27,3,2553066.968616,2648.003784008324,4077.9,308,56,55,200,
12,1,2553067.386427,2231.8151760846376,3781.1,349,58,57,200,
25,2,2553067.543020,2075.1592298038304,3729.0,284,60,59,200,
17,2,2553068.910856,,2464.7,0,1,0,200,
28,0,2553068.282851,1875.672422349453,3523.0,355,60,59,200,
14,2,2553068.299659,2072.1123018302023,3729.2,348,61,60,200,
3,1,2553068.541516,2418.1280531920493,3694.2,299,51,50,200,
4,2,2553068.819906,2451.9073758274317,3519.6,264,42,41,200,
2,2,2553068.574332,2576.115936972201,3869.5,289,48,47,200,
0,3,2553068.531606,2273.81534781307,4049.0,357,64,63,200,
1,0,2553068.308428,2185.096391942352,4396.0,427,77,76,200,
13,1,2553069.049337,2428.4273935481906,4033.9,351,66,65,200,
30,1,2553069.148114,2760.0369951687753,4036.3,283,46,45,200,
26,0,2553069.458293,3087.9293880425394,3881.3,183,31,30,200,
27,4,2553069.402127,3024.6780100278556,4143.1,268,42,41,200,
12,2,2553069.389578,3035.278521012515,4293.6,248,47,46,200,
17,3,2553070.091939,,3693.8,0,1,0,200,
30,2,2553069.183449,2948.6032952554524,4859.4,383,68,67,200,
3,2,2553069.538778,3148.781224619597,4604.6,305,53,52,200,
6,2,2553069.679425,3128.057525958866,4584.2,301,54,53,200,
12,3,2553069.926770,3514.66377498582,4612.7,238,41,40,200,
6,3,2553069.890791,3379.5933928340673,4870.8,344,56,55,200,
4,3,2553070.169684,3717.621493153274,4866.1,288,48,47,200,
8,3,2553070.023227,3625.62019797042,5113.4,315,55,54,200,
21,1,2553069.687873,3581.4635679125786,5534.2,374,72,71,200,
15,2,2553070.685056,3681.5927042625844,4828.6,302,48,47,200,
6,4,2553070.243036,3985.083810053766,5371.5,339,54,53,200,
31,4,2553071.225642,,4473.3,0,1,0,200,
0,4,2553070.250150,3979.2074295692146,5708.8,377,66,65,200,
29,3,2553071.182668,4141.133110038936,4876.4,172,27,26,200,
10,4,2553071.083736,4136.536029167473,5131.8,200,36,35,200,
31,3,2553070.708334,3931.756712961942,5609.9,314,59,58,200,
25,3,2553070.791361,4071.657654363662,5527.1,298,50,49,200,
24,3,2553071.143498,4078.647675924003,5311.9,258,41,40,200,
18,1,2553071.247591,4535.7401901856065,5753.2,298,53,52,200,
30,3,2553071.568613,4749.762450810522,5432.3,169,33,32,200,
4,4,2553071.904127,4651.742374058813,5199.7,170,29,28,200,
3,4,2553071.387796,4757.025821134448,5939.4,289,51,50,200,
3,3,2553071.279228,4505.8143376372755,6237.2,412,70,69,200,
3,5,2553071.561374,4584.459910634905,6057.6,327,58,57,200,
10,5,2553071.656834,4762.96992180869,6048.4,304,51,50,200,
2,3,2553072.190581,5015.623126644641,5895.6,226,36,35,200,
25,4,2553072.961683,,5228.2,0,1,0,200,
5,3,2553071.665095,4754.640670958906,6644.4,347,75,74,200,
26,1,2553072.312054,5117.534301243722,5997.8,189,32,31,200,
15,4,2553072.082113,5021.612897049636,6331.6,280,45,44,200,
20,2,2553072.927191,4864.970941096544,5709.8,182,34,33,200,
20,1,2553072.446063,5259.033606853336,6292.2,166,37,36,200,
8,4,2553073.157553,,5666.7,0,1,0,200,
23,4,2553073.761507,,5149.3,0,1,0,200,
15,3,2553072.017333,5086.31951501593,7099.5,411,66,65,200,
13,2,2553072.787769,5002.831495832652,6434.6,293,49,48,200,
4,5,2553073.056725,5356.8977527320385,6594.5,275,45,44,200,
19,2,2553072.979498,5313.249490689486,6671.8,279,48,47,200,
4,6,2553073.496831,5412.4109810218215,6376.5,268,42,41,200,
6,5,2553073.058200,5355.3482494316995,6934.3,366,57,56,200,
13,3,2553073.068496,5447.562212124467,7025.4,303,56,55,200,
28,1,2553073.804894,5207.946303766221,6480.5,309,51,50,200,
0,5,2553074.148576,5174.021332990378,6307.9,329,47,46,200,
19,3,2553074.029257,5190.734336152673,6581.3,312,54,53,200,
19,4,2553074.286854,5466.305935289711,6617.2,246,44,43,200,
9,0,2553075.181858,4998.473973013461,5945.8,189,40,39,200,
6,6,2553074.622767,5130.446931812912,6745.5,321,63,62,200,
27,5,2553075.925037,,5546.4,0,1,0,200,
2,4,2553076.146941,,5428.4,0,1,0,200,
8,5,2553074.973038,5002.456545829773,6738.3,328,62,61,200,
6,7,2553075.011635,5167.273613158613,6837.8,343,63,62,200,
13,4,2553075.222188,5164.983215276152,6627.3,334,54,53,200,
27,6,2553076.399756,,5551.5,0,1,0,200,
13,5,2553075.381176,5178.009124938399,6740.6,330,56,55,200,
16,3,2553075.616763,5389.927074778825,6814.3,344,52,51,200,
23,5,2553076.613046,,5920.1,0,1,0,200,
16,2,2553075.527842,5186.007441952825,7123.6,398,70,69,200,
3,6,2553075.911886,5317.855764646083,6892.9,295,53,52,200,
2,6,2553076.841166,,6065.8,0,1,0,200,
8,6,2553076.147750,5529.567378107458,7102.7,340,57,56,200,
6,8,2553077.271708,,6081.6,0,1,0,200,
28,2,2553076.298824,5652.221839874983,7294.9,381,61,60,200,
7,3,2553076.503650,5548.712038900703,7190.6,368,60,59,200,
9,1,2553076.513879,5709.6911878325045,7268.0,350,56,55,200,
16,4,2553076.275807,5538.396674674004,7642.7,408,72,71,200,
13,6,2553077.128055,5880.555049050599,6997.2,225,42,41,200,
9,2,2553076.723371,5911.184330936521,7505.1,362,54,53,200,
2,5,2553076.794445,5958.960804156959,7535.1,278,52,51,200,
15,6,2553079.046613,,5370.3,0,1,0,200,
26,2,2553077.326437,6128.98429017514,7193.8,193,31,30,200,
6,9,2553079.086027,,5434.3,0,1,0,200,
9,3,2553077.782536,5997.539198026061,7028.2,156,34,33,200,
29,4,2553079.420889,,5493.9,0,1,0,200,
15,5,2553078.108391,5673.304102849215,6908.5,243,37,36,200,
14,5,2553079.475558,,5541.7,0,1,0,200,
17,4,2553079.574062,,5546.4,0,1,0,200,
26,3,2553078.843461,5571.72085903585,6516.2,169,33,32,200,
11,1,2553078.359118,5524.557520635426,7223.2,322,56,55,200,
2,7,2553079.147141,5475.126558914781,6536.4,218,38,37,200,
21,3,2553080.022676,,5746.9,0,1,0,200,
1,1,2553078.626327,5395.1176619157195,7333.3,400,62,61,200,
14,4,2553079.392520,5229.813159443438,6567.2,284,47,46,200,
21,2,2553078.651132,5577.045985963196,7496.4,343,61,60,200,
12,4,2553079.509048,5611.184504814446,6740.9,224,39,38,200,
17,5,2553079.824559,5397.890300024301,6870.3,339,59,58,200,
7,4,2553080.373694,5481.265179812908,6475.1,271,44,43,200,
25,5,2553079.879517,5583.510532975197,7124.3,323,59,58,200,
27,7,2553080.666335,5395.37817100063,6337.5,239,40,39,200,
7,5,2553080.792894,5559.5851871185005,6400.3,233,38,37,200,
20,3,2553080.719947,5529.971381183714,6473.3,198,40,39,200,
16,5,2553080.635892,5220.539749134332,6934.9,387,73,72,200,
16,6,2553080.660850,5400.792170781642,7080.3,425,71,70,200,
12,5,2553080.854019,5943.695932161063,6887.2,222,40,39,200,
7,6,2553081.443525,5852.900175843388,6450.1,171,28,27,200,
27,8,2553080.891549,6061.050834134221,7205.3,275,48,47,200,
12,6,2553080.891938,6215.366858989,7305.5,240,44,43,200,
24,4,2553081.913777,,6368.8,0,1,0,200,
4,7,2553080.949271,6157.97760989517,7539.1,280,54,53,200,
0,6,2553082.241423,,6348.8,0,1,0,200,
13,7,2553082.287034,,6404.8,0,1,0,200,
26,4,2553081.692427,6149.57836503163,7187.6,199,34,33,200,
18,2,2553081.742588,6099.471653811634,7376.0,254,44,43,200,
19,5,2553081.603551,6068.626099266112,7615.6,292,51,50,200,
10,6,2553082.776010,,6530.1,0,1,0,200,
12,7,2553081.845027,6149.276383686811,7579.7,258,45,44,200,
21,4,2553081.321155,5975.184366106987,8103.6,399,74,73,200,
20,4,2553082.358556,6435.769642237574,7270.8,162,30,29,200,
19,6,2553082.175939,6192.387122660875,7554.9,270,44,43,200,
14,6,2553083.156789,,6659.7,0,1,0,200,
15,8,2553083.366937,,6536.2,0,1,0,200,
11,2,2553082.055462,6311.2669619731605,7966.9,300,51,50,200,
30,4,2553082.578358,6726.092435885221,7648.5,186,28,27,200,
24,5,2553084.119586,,6209.2,0,1,0,200,
15,9,2553084.205461,,6226.1,0,1,0,200,
28,3,2553082.437199,6544.311021920294,8114.5,262,45,44,200,
9,4,2553083.363495,6538.031789939851,7580.9,188,39,38,200,
21,5,2553083.002696,6523.756286129355,8044.9,291,49,48,200,
18,3,2553082.911168,6496.722568757832,8240.0,353,55,54,200,
12,8,2553083.960757,6162.772316019982,7294.1,227,39,38,200,
15,7,2553083.015710,6510.790745262057,8443.7,355,62,61,200,
4,8,2553083.883749,6122.277801390737,7714.2,301,54,53,200,
6,10,2553084.506209,6147.067637648433,7333.2,273,46,45,200,
0,7,2553084.226171,6308.867732062936,7721.5,291,50,49,200,
29,5,2553084.719099,6415.226824115962,7506.6,251,40,39,200,
29,6,2553085.115072,6448.809613008052,7249.6,170,31,30,200,
7,7,2553085.038462,6318.153218831867,7428.3,212,40,39,200,
15,11,2553086.330766,,6223.7,0,1,0,200,
17,6,2553086.560092,,6097.0,0,1,0,200,
31,5,2553086.742200,,6017.4,0,1,0,200,
15,10,2553084.726026,6528.717579785734,8135.0,292,49,48,200,
17,7,2553086.865950,,6082.3,0,1,0,200,
14,7,2553084.694719,6438.5594059713185,8360.1,347,57,56,200,
20,5,2553085.253148,6449.46038397029,7904.6,220,40,39,200,
5,4,2553087.023047,,6222.0,0,1,0,200,
