session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,output_chunks,status,backend
22,0,2552817.911517,129.091773647815,1061.3,297,48,47,200,
2,0,2552818.143459,106.23576398938894,965.7,272,47,46,200,
7,0,2552818.471126,121.80260568857193,1110.7,342,52,51,200,
24,0,2552819.375729,204.41174041479826,1063.9,224,41,40,200,
23,0,2552819.839421,115.59895658865571,800.0,208,30,29,200,
14,0,2552820.068606,174.57784665748477,1116.0,216,45,44,200,
18,0,2552819.396718,185.00731233507395,1837.3,440,75,74,200,
4,0,2552820.055236,186.85064325109124,1212.5,324,51,50,200,
5,0,2552820.439615,117.71284183487296,1185.0,216,43,42,200,
6,0,2552820.923249,111.35304067283869,1182.8,263,41,40,200,
23,1,2552821.298979,187.11596820503473,1060.5,228,34,33,200,
22,1,2552821.344335,226.0494721122086,1133.6,237,36,35,200,
10,0,2552821.943091,112.00244072824717,534.9,75,14,13,200,
29,0,2552821.044763,106.50106985121965,1617.4,326,54,53,200,
17,0,2552821.404185,220.20283620804548,1547.7,319,55,54,200,
24,1,2552822.179626,145.70399606600404,1044.6,173,33,32,200,
4,1,2552821.707505,112.75585507974029,1602.7,334,57,56,200,
14,1,2552822.258693,202.2874797694385,1102.0,199,38,37,200,
15,0,2552822.134727,189.1891029663384,1325.1,285,49,48,200,
3,0,2552822.547527,198.70857894420624,1068.0,304,45,44,200,
2,1,2552822.613560,135.8891581185162,1002.2,258,44,43,200,
25,0,2552823.022859,201.26307103782892,1342.4,238,49,48,200,
13,0,2552823.101520,123.99087194353342,1364.5,275,49,48,200,
8,0,2552823.938840,220.81906581297517,1096.7,282,45,44,200,
29,1,2552823.899405,175.32740626484156,1153.5,305,48,47,200,
27,0,2552824.355037,111.56705068424344,1035.0,271,44,43,200,
31,0,2552823.773046,216.43039723858237,1617.0,393,61,60,200,
25,1,2552824.926160,109.98946661129594,513.2,90,17,16,200,
20,0,2552823.713000,190.65068382769823,1812.7,410,70,69,200,
16,0,2552824.010691,150.04377206787467,1566.9,378,69,68,200,
8,1,2552825.039294,114.39553229138255,1072.2,256,41,40,200,
5,1,2552825.217556,104.08831015229225,1014.0,248,42,41,200,
10,1,2552825.611830,153.20904599502683,637.5,169,25,24,200,
24,2,2552826.232798,119.26558008417487,797.4,128,29,28,200,
7,1,2552825.570246,193.3076991699636,1509.6,371,59,58,200,
27,1,2552826.005802,105.64975021407008,1343.5,302,54,53,200,
29,2,2552826.353183,118.67379629984498,1477.0,315,61,60,200,
7,2,2552826.827083,119.10490971058607,1137.3,312,49,48,200,
0,0,2552826.541727,120.98080990836024,1620.9,451,74,73,200,
27,2,2552827.510770,165.68709816783667,808.2,232,39,38,200,
0,1,2552827.554225,122.09826661273837,883.5,255,41,40,200,
17,1,2552827.113523,120.03753194585443,1620.1,386,77,76,200,
21,0,2552827.480443,194.2808018065989,1338.5,329,65,64,200,
16,1,2552828.323187,115.32092280685902,1460.5,430,73,72,200,
6,1,2552829.394817,111.39471270143986,870.3,220,41,40,200,
11,0,2552829.216971,115.7629732042551,1065.3,285,48,47,200,
19,0,2552829.906542,116.9054782949388,1078.9,244,41,40,200,
12,0,2552830.367936,200.43332315981388,700.1,124,23,22,200,
10,2,2552830.410427,159.2393759638071,901.8,198,36,35,200,
0,2,2552830.605267,120.34035427495837,1113.3,270,47,46,200,
23,2,2552830.839892,111.7951013147831,1327.0,309,55,54,200,
31,1,2552830.834249,117.38812830299139,1547.9,392,69,68,200,
19,1,2552831.367561,201.31735317409039,1048.2,253,44,43,200,
15,1,2552831.436184,133.5898470133543,1318.0,329,55,54,200,
5,2,2552831.962575,204.19667987152934,825.5,161,31,30,200,
31,2,2552831.985850,181.9604649208486,1487.7,367,62,61,200,
8,2,2552832.409504,195.2670430764556,1114.9,274,48,47,200,
30,0,2552832.443967,161.81187517940998,1340.3,366,62,61,200,
10,3,2552833.178781,194.4354916922748,656.9,162,29,28,200,
27,3,2552833.255998,118.53909492492676,770.0,259,40,39,200,
12,1,2552834.090297,84.30518582463264,506.6,118,23,22,200,
25,2,2552834.402867,108.54679299518466,447.0,119,22,21,200,
23,3,2552835.736097,,88.7,0,1,0,200,
14,2,2552835.914221,138.0252968519926,837.5,193,29,28,200,
28,0,2552835.881109,169.84162805601954,929.5,189,34,33,200,
1,0,2552835.931595,120.71531312540174,945.3,183,37,36,200,
3,1,2552836.396490,175.7358550094068,871.4,210,34,33,200,
0,3,2552836.376414,194.60833026096225,908.7,234,36,35,200,
14,3,2552836.153718,106.48701898753643,1252.2,303,52,51,200,
2,2,2552836.461793,110.47767475247383,1081.9,265,46,45,200,
4,2,2552836.953736,112.91633499786258,1098.4,270,43,42,200,
17,2,2552837.134815,116.55037803575397,1383.3,279,47,46,200,
12,2,2552838.088869,205.71822999045253,807.9,128,25,24,200,
13,1,2552837.412131,114.2363641411066,1726.3,385,63,62,200,
27,4,2552838.114562,265.154923312366,1129.8,236,35,34,200,
3,2,2552838.383336,117.81452409923077,949.8,192,33,32,200,
30,1,2552837.606154,197.6003348827362,1933.9,376,67,66,200,
30,2,2552837.676253,128.9560911245644,2140.4,460,78,77,200,
6,2,2552838.663418,112.1678170748055,1153.3,240,41,40,200,
12,3,2552839.155601,177.43120528757572,799.9,138,25,24,200,
0,4,2552839.801871,,257.1,0,1,0,200,
26,0,2552838.225874,155.31698195263743,2038.2,442,74,73,200,
6,3,2552839.083247,248.91212210059166,1214.6,247,42,41,200,
