session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
7,0,334988.539998,245.5280909780413,5530.4,366,61,200,
22,0,334987.421382,222.81315695727244,6732.4,439,75,200,
2,0,334987.884950,280.6486199842766,6877.4,450,75,200,
18,0,334990.391610,252.8851249953732,4452.1,262,47,200,
14,0,334991.731795,230.26255902368575,3814.6,217,40,200,
4,0,334991.708178,252.71945702843368,4893.0,292,51,200,
5,0,334992.473917,272.8583989664912,5320.3,286,55,200,
24,0,334990.349428,296.013078012038,7528.8,458,80,200,
23,0,334991.276829,234.40288502024487,7221.9,513,77,200,
4,1,334995.000145,293.1993700331077,4202.9,196,43,200,
6,0,334993.442058,256.663670996204,5761.3,429,60,200,
14,1,334996.102214,246.33889005053788,3421.3,200,35,200,
29,0,334993.681708,219.73983198404312,6861.0,399,68,200,
24,1,334995.942959,321.96798402583227,5101.9,289,49,200,
15,0,334995.852911,293.9461140194908,5363.0,287,52,200,
17,0,334994.394372,280.72799800429493,7075.6,425,71,200,
23,1,334994.186845,286.089485976845,7404.1,479,74,200,
22,1,334994.276529,314.77655697381124,8056.6,500,81,200,
2,1,334996.811288,277.40890596760437,6342.4,401,63,200,
10,0,334995.470494,274.8075259733014,7683.5,476,77,200,
13,0,334997.786616,291.5786730009131,5448.8,309,53,200,
3,0,334996.680210,324.58048197440803,6722.3,406,67,200,
31,0,334999.129292,273.21620302973315,4728.6,283,45,200,
8,0,334999.459191,299.02149498229846,4972.0,326,48,200,
29,1,334999.381726,257.65476998640224,6462.3,386,65,200,
25,0,334997.629558,246.8011589953676,8503.6,450,87,200,
20,0,334999.008856,309.2085120151751,7124.7,414,71,200,
16,0,334999.601519,566.6800379985943,7030.6,414,72,200,
27,0,335000.290705,248.12800897052512,6581.0,477,70,200,
5,1,335002.014327,235.30342802405357,5024.8,306,53,200,
7,1,335002.720097,264.8961709928699,4567.3,306,48,200,
24,2,335004.043135,265.29645797563717,3915.2,239,41,200,
10,1,335002.803657,264.1225580009632,5689.8,374,61,200,
8,1,335001.657809,221.95729101076722,7167.3,472,78,200,
25,1,335001.431972,242.24184796912596,7562.9,421,82,200,
27,1,335003.589160,264.7371949860826,5818.3,406,63,200,
29,2,335004.284594,226.70024499529973,5206.2,347,57,200,
7,2,335005.234678,271.6622439911589,4761.4,307,52,200,
0,0,335004.663200,217.35915099270642,5534.0,391,61,200,
27,2,335006.600458,270.71448002243415,4470.0,315,49,200,
17,1,335005.807615,237.76927700964734,7403.3,438,82,200,
16,1,335008.225345,266.97284902911633,5697.4,385,62,200,
0,1,335006.686697,266.66491001378745,7236.4,443,80,200,
19,0,335011.389413,293.3158850064501,2865.3,146,29,200,
21,0,335006.540621,331.528025039006,7796.8,455,86,200,
11,0,335010.011625,268.23247800348327,5570.1,378,60,200,
31,1,335013.241943,255.28855004813522,2961.9,206,31,200,
19,1,335014.308664,231.25877499114722,2061.7,120,21,200,
23,2,335013.252216,245.30498799867928,5630.3,392,61,200,
0,2,335012.783958,257.55034398753196,6277.0,395,68,200,
6,1,335010.366883,281.8085390026681,8860.6,553,97,200,
12,0,335012.311526,274.95884196832776,7085.9,445,77,200,
10,2,335012.395371,275.05897101946175,7255.7,439,79,200,
15,1,335014.446455,297.64489200897515,5495.2,338,59,200,
31,2,335015.544829,240.11172098107636,4652.4,298,50,200,
5,2,335015.498906,286.40399395953864,5827.2,337,63,200,
27,3,335018.085720,280.0393899669871,3659.2,261,39,200,
8,2,335016.392388,297.91638697497547,6401.5,431,70,200,
30,0,335016.462118,311.2654489814304,7185.6,464,77,200,
10,3,335017.931483,227.94737498043105,6486.7,385,69,200,
12,1,335019.753166,271.3422170490958,6713.3,405,69,200,
14,2,335023.398101,344.50190799543634,4549.4,235,43,200,
14,3,335023.876770,274.26496701082215,4393.6,231,42,200,
25,2,335020.378171,271.35049999924377,8561.7,450,87,200,
23,3,335023.043537,239.11199998110533,6978.4,414,68,200,
1,0,335023.431828,310.5594969820231,7163.4,401,70,200,
28,0,335023.333044,313.7345429859124,7563.2,431,74,200,
0,3,335024.321081,353.3074629958719,6875.5,409,67,200,
3,1,335024.358432,317.0005950378254,6839.3,390,67,200,
4,2,335025.471326,330.06181800737977,6118.0,334,59,200,
2,2,335024.488787,276.28066297620535,7226.5,435,71,200,
13,1,335026.386367,290.17059301258996,5591.7,299,54,200,
17,2,335025.833098,275.1791400369257,6404.3,325,63,200,
27,4,335027.788492,248.6650799983181,4532.8,278,44,200,
12,2,335027.738486,300.0222789705731,6070.1,322,59,200,
30,2,335026.913916,300.2129430533387,7371.3,423,73,200,
3,2,335028.324412,248.69203002890572,6929.6,401,68,200,
26,0,335028.008507,260.53890195908025,7245.7,414,71,200,
6,2,335028.884362,263.961807009764,6503.8,395,63,200,
30,1,335026.774281,347.3097770474851,8928.0,509,87,200,
4,3,335030.838059,572.9332659975626,4959.4,263,44,200,
8,3,335030.252324,553.0400210409425,6573.4,357,60,200,
21,1,335028.916341,232.78898699209094,8442.1,506,82,200,
6,3,335029.723620,295.3881560242735,8614.3,547,83,200,
12,3,335029.867392,374.32422302663326,8598.8,488,82,200,
0,4,335031.157812,644.2850200110115,7531.4,440,68,200,
17,3,335030.526903,579.2355270241387,8390.0,446,77,200,
15,2,335032.895353,291.56837798655033,6243.1,310,57,200,
31,3,335032.987020,288.6011420050636,6151.8,319,56,200,
24,3,335034.721438,344.72596301930025,4853.5,243,43,200,
6,4,335031.131642,280.5444640107453,8804.5,509,84,200,
18,1,335035.129184,383.76111997058615,5025.8,244,45,200,
31,4,335035.044363,469.77596799843013,5390.2,294,48,200,
10,4,335034.481212,323.6561130033806,6508.0,369,60,200,
29,3,335034.876175,280.70554399164394,7470.7,414,70,200,
4,4,335037.737941,949.3963890126906,4609.6,192,36,200,
25,3,335033.315943,294.4011240033433,9240.1,450,87,200,
3,3,335035.254299,348.68936496786773,7302.2,406,68,200,
3,4,335035.687449,340.20924498327076,7616.1,459,72,200,
15,3,335038.190888,722.4173390422948,5280.2,266,46,200,
10,5,335036.754279,830.888013006188,6887.8,359,61,200,
3,5,335036.377972,264.66714998241514,7518.1,424,73,200,
5,3,335036.784215,1813.1479740259238,7112.4,302,54,200,
2,3,335038.883286,472.29165001772344,5918.8,377,57,200,
30,3,335036.404606,654.412395961117,8945.0,494,85,200,
19,2,335042.032049,312.87211598828435,3694.5,212,37,200,
13,2,335041.269015,323.0691269855015,4544.5,268,45,200,
4,5,335042.338254,342.43425296153873,4270.6,259,43,200,
26,1,335039.367522,293.24171401094645,7241.8,422,73,200,
0,5,335046.691918,,341.5,0,0,200,
20,1,335039.903587,251.59144500503317,7808.5,446,79,200,
15,4,335038.450108,687.0230510248803,9431.9,499,91,200,
13,3,335042.386439,377.9451650334522,5838.2,354,59,200,
19,3,335046.217993,285.83646699553356,2571.0,156,24,200,
4,6,335044.093490,280.0380590488203,5150.6,273,52,200,
20,2,335041.823178,301.89505201997235,7786.7,479,80,200,
6,5,335042.347677,332.8290960052982,7447.7,433,77,200,
25,4,335041.960809,294.35740801272914,7928.2,459,82,200,
8,4,335042.739730,227.66349196899682,7878.7,527,82,200,
28,1,335045.320229,233.3259690203704,5893.5,385,59,200,
23,4,335045.151832,317.5809609820135,7013.2,479,70,200,
19,4,335047.244268,282.1952470112592,5148.7,322,51,200,
6,6,335048.586984,291.6115630068816,6811.6,432,68,200,
8,5,335049.985304,361.0520960064605,5714.7,323,56,200,
13,4,335050.977942,324.4224850204773,5514.9,307,54,200,
13,5,335051.610734,275.48251301050186,5651.6,385,56,200,
9,0,335050.818653,264.9163019959815,6569.0,346,65,200,
6,7,335050.139268,300.8707740227692,7555.9,437,75,200,
16,2,335052.193101,292.31568303657696,5917.8,360,59,200,
